,Brand,Model,YOM,Fuel Type,Millage(KM),Price
175,CHERY,QQ,2006,Petrol,209000.0,11.75
176,CHERY,QQ,2006,Petrol,209000.0,11.0
177,CHERY,QQ,2007,Petrol,198000.0,14.0
178,CHERY,QQ,2008,Petrol,187000.0,14.5
179,CHERY,QQ,2012,Petrol,143000.0,15.75
180,CHERY,QQ,2008,Petrol,187000.0,14.5
181,CHERY,QQ,2011,Petrol,154000.0,8.575000000000001
182,CHERY,QQ,2007,Petrol,198000.0,16.75
183,CHERY,QQ,2006,Petrol,209000.0,12.25
184,CHERY,QQ,2007,Petrol,198000.0,12.5
185,CHERY,QQ,2007,Petrol,198000.0,12.85
186,CHERY,QQ,2008,Petrol,187000.0,18.375
187,CHERY,QQ,2007,Petrol,198000.0,12.6
188,CHERY,QQ,2012,Petrol,143000.0,14.2
189,CHERY,QQ,2006,Petrol,209000.0,12.25
190,CHERY,QQ,2007,Petrol,198000.0,13.48
191,CHERY,QQ,2017,Petrol,88000.0,17.95
192,CHERY,QQ,2007,Petrol,198000.0,12.85
193,CHERY,QQ,2009,Petrol,176000.0,12.4
194,CHERY,QQ,2009,Petrol,176000.0,14.95
195,CHERY,QQ,2011,Petrol,154000.0,13.85
196,CHERY,QQ,2010,Petrol,165000.0,18.375
197,CHERY,QQ,2007,Petrol,198000.0,12.5
198,CHERY,QQ,2007,Petrol,198000.0,14.5
199,CHERY,QQ,2009,Petrol,176000.0,15.0
200,CHERY,QQ 308,2007,Petrol,198000.0,13.0
201,CHERY,QQ 308,2007,Petrol,198000.0,13.0
202,CHERY,QQ 308,2006,Petrol,209000.0,13.25
203,CHERY,QQ 308,2011,Petrol,154000.0,13.75
204,CHEVROLET,AVEO,2007,Petrol,198000.0,31.0
205,CHEVROLET,AVEO,2008,Petrol,187000.0,23.75
206,CHEVROLET,AVEO,2008,Petrol,187000.0,35.5
207,CHEVROLET,AVEO UVA LT,2007,Petrol,198000.0,27.0
208,CHEVROLET,BEAT,2011,Petrol,154000.0,27.5
209,CHEVROLET,CRUZE,2003,Petrol,242000.0,35.5
210,CHEVROLET,CRUZE,2003,Petrol,242000.0,34.85
211,CHEVROLET,CRUZE,2002,Petrol,253000.0,35.85
212,CHEVROLET,CRUZE,2004,Petrol,231000.0,37.375
213,CHEVROLET,CRUZE,2003,Petrol,242000.0,39.5
214,CHEVROLET,CRUZE,2002,Petrol,253000.0,39.9
215,CHEVROLET,CRUZE,2006,Petrol,209000.0,37.0
216,CHEVROLET,CRUZE,2004,Petrol,231000.0,37.375
217,CHEVROLET,CRUZE,2002,Petrol,253000.0,36.75
218,CHEVROLET,CRUZE,2004,Petrol,231000.0,36.0
219,CHEVROLET,CRUZE,2004,Petrol,231000.0,35.75
220,CHEVROLET,CRUZE,2006,Petrol,209000.0,37.5
221,CHEVROLET,CRUZE,2003,Petrol,242000.0,37.9
222,CHEVROLET,CRUZE,2006,Petrol,209000.0,39.0
223,CHEVROLET,CRUZE,2004,Petrol,231000.0,37.375
224,CHEVROLET,CRUZE,2004,Petrol,231000.0,39.5
225,CHEVROLET,CRUZE,2004,Petrol,231000.0,37.0
226,CHEVROLET,CRUZE,2004,Petrol,231000.0,37.0
227,CHEVROLET,CRUZE,2002,Petrol,253000.0,35.0
228,CHEVROLET,CRUZE,2003,Petrol,242000.0,36.5
229,CHEVROLET,CRUZE,2003,Petrol,242000.0,37.9
230,CHEVROLET,CRUZE,2004,Petrol,231000.0,39.0
231,CHEVROLET,CRUZE,2002,Petrol,253000.0,36.875
232,CHEVROLET,CRUZE,2003,Petrol,242000.0,39.9
233,CHEVROLET,CRUZE GM,2005,Petrol,220000.0,35.0
234,CHEVROLET,CRUZE GM,2004,Petrol,231000.0,41.33125000000002
235,CHEVROLET,CRUZE GM,2003,Petrol,242000.0,37.9
236,CHEVROLET,CRUZE GM,2005,Petrol,220000.0,37.95
237,CHEVROLET,CRUZE GM LIMITED,2004,Petrol,231000.0,39.5
238,CHEVROLET,CRUZE JAPAN GM SPORT,2004,Petrol,231000.0,38.5
239,CHEVROLET,SPORT,2012,Petrol,143000.0,325.0
240,CHEVROLET,UVA AVEO LT,2007,Petrol,198000.0,28.0
241,CHEVROLET,UVA HACHBACK,2008,Petrol,187000.0,25.0
242,CITROEN,E-C4,2024,Electric,11000.0,228.5
243,DAEWOO,CIELO,1996,Petrol,319000.0,9.85
244,DAEWOO,DAEWOO,1996,Petrol,319000.0,17.5
245,DAEWOO,DAEWOO,1987,Petrol,418000.0,4.25
246,DAEWOO,ESPERO GLXI KOREA,2001,Petrol,264000.0,19.75
247,DAEWOO,KALOS,2003,Petrol,242000.0,30.0
248,DAEWOO,LANOS,2002,Petrol,253000.0,18.5
249,DAEWOO,LEGANZA,2002,Petrol,253000.0,20.0
250,DAEWOO,LEGANZA,2000,Petrol,275000.0,13.5
251,DAEWOO,MATIZ,1999,Petrol,286000.0,12.75
252,DAEWOO,MATIZ,2001,Petrol,264000.0,17.75
253,DAEWOO,NUBIRA,2000,Petrol,275000.0,17.95
254,DAEWOO,NUBIRA,1999,Petrol,286000.0,20.25
255,DAEWOO,NUBIRA,2002,Petrol,253000.0,16.5
256,DAEWOO,RACER,1995,Petrol,330000.0,9.25
257,DAEWOO,RACER,1994,Petrol,341000.0,10.0
258,DAEWOO,RACER GTI SPORT,1994,Petrol,341000.0,12.75
259,DAIHATSU,BOOM,2004,Petrol,231000.0,41.75
260,DAIHATSU,CHARADE,1986,Diesel,429000.0,7.5
261,DAIHATSU,CHARADE,1991,Petrol,374000.0,12.0
262,DAIHATSU,CHARADE,1987,Petrol,418000.0,14.0
263,DAIHATSU,CHARADE,1989,Diesel,396000.0,11.8
264,DAIHATSU,CHARADE,1987,Petrol,418000.0,11.5
265,DAIHATSU,CHARADE,1989,Petrol,396000.0,7.8
266,DAIHATSU,CHARADE,1989,Diesel,396000.0,11.8
267,DAIHATSU,CHARADE,1989,Diesel,396000.0,8.75
268,DAIHATSU,CHARADE,2006,Petrol,209000.0,19.53125
269,DAIHATSU,CHARADE,1986,Diesel,429000.0,9.0
270,DAIHATSU,CHARADE,1989,Diesel,396000.0,12.9
271,DAIHATSU,CHARADE,1996,Petrol,319000.0,19.53125
272,DAIHATSU,CHARADE G100,1991,Petrol,374000.0,12.5
273,DAIHATSU,CHARADE G100S,1987,Petrol,418000.0,14.5
274,DAIHATSU,CHARADE G100S,1987,Petrol,418000.0,9.95
275,DAIHATSU,CHARADE G101S,1989,Diesel,396000.0,8.0
276,DAIHATSU,CHARADE G101S,1989,Diesel,396000.0,8.0
277,DAIHATSU,CHARADE G11,1985,Petrol,440000.0,7.5
278,DAIHATSU,CHARADE G200S,1997,Petrol,308000.0,15.0
279,DAIHATSU,CHARMANT,1985,Petrol,440000.0,16.5
280,DAIHATSU,COPEN,2015,Petrol,110000.0,58.0
281,DAIHATSU,COPEN X PLAY,2015,Petrol,110000.0,67.0
282,DAIHATSU,CUORE,1997,Petrol,308000.0,19.9
283,DAIHATSU,CUORE,1994,Petrol,341000.0,16.75
